side,price,quantity,pnl,fee,hour,day_of_week,minute,price_change,price_volatility,price_sma_5,price_sma_20,volume_change,volume_sma,price_momentum_5,price_momentum_20,price_high_10,price_low_10,price_position,is_long,is_short,notional_value,net_result,is_profitable,is_loss,is_breakeven,fee_ratio,fee_to_pnl_ratio,rolling_pnl_5,rolling_pnl_20,rolling_winrate_10,rolling_winrate_50,win_streak,loss_streak,position_size_zscore
BUY,117538.5,0.008507851,0.0,0.4,13,2,54,0.0,113.62477697782582,117571.26000000001,117802.72850000001,0.0,0.0084824466,-0.0004643129571378407,-0.0036220673486836506,117803.7,117538.5,0.0,1,0,1000.0000447635,-0.4,0,1,0,0.00039999998209460085,inf,-5.066228000000001,-9.027143599999999,0.1,0.08,0,8,0.6215630295777667
BUY,117538.5,0.008507851,0.0,0.4,13,2,54,0.0,107.48132648630843,117560.34000000001,117781.3645,0.0,0.0084843619,-0.0004643129571378407,-0.0036220673486836506,117786.67,117538.5,0.0,1,0,1000.0000447635,-0.4,0,1,0,0.00039999998209460085,inf,-3.2785082,-9.027143599999999,0.1,0.08,0,9,0.6066297408339708
SELL,117538.5,0.008507851,0.0,0.4,13,2,54,0.0,96.61838509153888,117549.42,117760.00050000001,0.0,0.008488293599999999,-0.0004643129571378407,-0.0036220673486836506,117786.67,117538.5,0.0,0,1,1000.0000447635,-0.4,0,1,0,0.00039999998209460085,inf,-1.6392541,-9.027143599999999,0.0,0.08,0,10,0.5919136833560946
BUY,117400.0,0.008507851,-1.1783373,0.0,13,2,55,-0.0011783373107534523,95.41269797232201,117510.8,117734.2005,0.0,0.0084922253,-0.0016421031506100767,-0.0043759964720648595,117786.67,117400.0,0.0,1,0,998.8217074,-1.1783373,0,1,0,0.0,0.0,-1.1783373,-9.1693766,0.0,0.08,0,11,-0.12756289538949822
BUY,117400.0,0.008507851,-1.1783373,0.0,13,2,55,0.0,74.49514823811114,117483.1,117708.40050000002,0.0,0.008496157,-0.0011783373107534978,-0.0043759964720648595,117593.1,117400.0,0.0,1,0,998.8217074,-1.1783373,0,1,0,0.0,0.0,-2.3566746,-9.3116096,0.0,0.08,0,12,-0.12548110879550708
BUY,117400.0,0.008507851,-1.1783373,0.0,13,2,55,0.0,81.75501411679426,117455.4,117674.1905,0.0,0.008498072300000001,-0.0011783373107534978,-0.005794170600300439,117593.1,117400.0,0.0,1,0,998.8217074,-1.1783373,0,1,0,0.0,0.0,-3.5350118999999998,-10.4899469,0.0,0.08,0,13,-0.11117684600423046
BUY,117457.2,0.008513739,0.0,0.4,14,2,9,0.0004872231686541273,78.24135308923928,117439.13999999998,117642.8405,0.0006920666570204848,0.0085005764,-0.0006916882553376375,-0.005309770485805891,117593.1,117400.0,0.2962195753495358,1,0,999.9999444707998,-0.4,0,1,0,0.0004000000222116813,inf,-3.5350118999999998,-10.4899469,0.0,0.08,0,14,0.6276973728786541
SELL,117457.2,0.008513739,0.0,0.4,14,2,9,0.0,71.75735734566133,117422.88,117611.4905,0.0,0.0085050969,-0.0006916882553376375,-0.005309770485805891,117593.1,117400.0,0.2962195753495358,0,1,999.9999444707998,-0.4,0,1,0,0.0004000000222116813,inf,-3.5350118999999998,-10.4899469,0.0,0.06,0,15,0.5995651986916777
SELL,117457.2,0.008513739,0.0,0.4,14,2,9,0.0,61.36863476753227,117434.31999999999,117593.81050000002,0.0,0.008509617399999999,0.000487223168654149,-0.003001422619997537,117538.5,117400.0,0.41299638989167575,0,1,999.9999444707998,-0.4,0,1,0,0.0004000000222116813,inf,-2.3566746,-9.179631899999999,0.0,0.06,0,16,0.5717215502616836
BUY,117337.7,0.008513739,-1.0173918,0.0,14,2,10,-0.00101739186699501,69.68345571148248,117421.86000000002,117570.1555,0.0,0.0085102062,-0.0005306643952300077,-0.004015760864029493,117538.5,117337.7,0.0,1,0,998.9825526602999,-1.0173918,0,1,0,0.0,0.0,-2.1957291,-8.8867087,0.0,0.06,0,17,-0.09443996916195764
SELL,117578.5,0.008513739,-1.0327165,0.0,14,2,22,0.002052196352919866,76.02898277707666,117457.56000000001,117558.89550000001,0.0,0.008510794999999998,0.0015204429301533219,-0.001911654727313294,117578.5,117337.7,1.0,0,1,1001.0326610115,-1.0327165,0,1,0,0.0,0.0,-2.0501082999999998,-9.9194252,0.0,0.06,0,18,1.1782701539753375
SELL,117578.5,0.008513739,-1.0327165,0.0,14,2,22,0.0,81.66684081550095,117481.81999999999,117547.6355,0.0,0.0085113838,0.0010327165980459512,-0.001911654727313294,117578.5,117337.7,1.0,0,1,1001.0326610115,-1.0327165,0,1,0,0.0,0.0,-3.0828248,-10.9521417,0.0,0.06,0,19,1.1369073675095154
SELL,117740.0,0.008507851,-1.714332,0.0,14,2,22,0.0013735504365168794,119.26131020163392,117538.38,117545.302,-0.0006915880320031986,0.0085113838,0.0024076855228968757,-0.0003962248020085656,117740.0,117337.7,1.0,0,1,1001.71437674,-1.714332,0,1,0,0.0,0.0,-4.7971568,-15.186116499999999,0.0,0.06,0,20,1.508269544426723
BUY,117700.3,0.008496155,0.0,0.4,14,2,24,-0.00033718362493628806,133.6434077848558,117587.0,117540.98350000002,-0.0013747302344623291,0.008510214200000001,0.0020696900658282833,-0.0007332748264298103,117740.0,117337.7,0.9013174248073657,1,0,999.9999923465,-0.4,0,1,0,0.00040000000306140006,inf,-4.7971568,-15.186116499999999,0.0,0.06,0,21,0.39821110227449125
