future_profitable,future_price_up,future_long_bias,future_volatility,future_pnl,future_net_result
0.0,0,0.4,148.62339731667265,0.0,-0.4
0.0,0,0.4,149.55223177855123,0.0,-0.4
0.0,0,0.4,121.25402455151477,0.0,-0.4
0.0,0,0.4,36.291383273892585,0.0,-0.4
0.0,1,0.2,57.422225661660725,-1.0904644,-1.0904644
0.0,1,0.0,70.32757638325658,-1.0904644,-1.0904644
0.0,1,0.0,70.32757638328913,-1.0904644,-1.0904644
0.0,0,0.2,114.1798143278498,-1.0760267,-1.0760267
0.0,0,0.4,114.95001087404135,0.0,-0.4
0.0,0,0.6,107.66618317716218,0.0,-0.4
0.0,0,0.6,90.28127159015142,0.0,-0.4
0.0,0,0.6,53.75507417845561,0.0,-0.4
0.0,0,0.6,111.6692347960088,-2.1207476,-2.1207476
0.0,0,0.6,136.76632260873507,-2.1207476,-2.1207476
0.0,0,0.6,149.68849989195934,0.0,-0.4
0.0,0,0.8,128.56609973042492,0.0,-0.4
1.0,0,1.0,67.4924292041507,3.523821,3.1252305199999997
0.0,0,1.0,72.85972824455759,0.0,-0.39859048
0.0,0,1.0,67.66455497425412,-1.2568977,-1.2568977
0.0,0,1.0,60.379301087866224,-1.2568977,-1.2568977
0.0,0,1.0,48.19887965348693,-1.0021955,-1.0021955
0.0,0,1.0,246.49369565939915,0.0,-0.4
0.0,0,1.0,289.77737489287495,0.0,-0.4
0.0,0,1.0,282.47490684977146,0.0,-0.4
0.0,0,0.8,212.650064659689,0.0,-0.4
0.0,0,0.8,59.52412955893948,-1.1402079,-1.1402079
0.0,0,0.8,72.90187240219112,-1.1402079,-1.1402079
0.0,0,0.8,72.90187240216456,-1.1402079,-1.1402079
1.0,0,0.8,118.40703999227571,2.8364706,2.4376051700000003
0.0,0,1.0,271.785749846663,0.0,-0.4
0.0,0,1.0,317.3023032057857,0.0,-0.4
0.0,0,0.8,297.12180232975004,0.0,-0.4
0.0,0,0.6,191.49238945624273,0.0,-0.4
0.0,0,0.6,55.36504311969632,-1.0674825,-1.0674825
0.0,0,0.6,67.80805261650248,-1.0674825,-1.0674825
0.0,1,0.4,106.7962639779438,-1.1442239,-1.1442239
0.0,1,0.4,128.2654396150829,-1.1442239,-1.1442239
0.0,1,0.6,170.0384868188895,0.0,-0.4
0.0,1,0.4,154.29730392871258,0.0,-0.4
